source_id,file_name,sheet,column_index,field_name,inferred_data_type,example_value,fill_notes,confidence,notes
F1,2026年订单汇总表.xlsx,汇总表,0,客户,text,锦秀/胡颖洁,"370/450 non-null",OBSERVED,"agent+merchandiser combined; sometimes brand"
F1,2026年订单汇总表.xlsx,汇总表,1,下单时间,text_date_short,12.1,"237/450 non-null; mixed '12.1' / '12/10' formats",OBSERVED,order date in shorthand M.D or M/D
F1,2026年订单汇总表.xlsx,汇总表,2,款号,text,FBB54S2-997XLB,"385/450 non-null; often contains free-text suffixes",OBSERVED,factory style code
F1,2026年订单汇总表.xlsx,汇总表,3,款式图,image_formula,=DISPIMG(""ID_…""),"60/450 non-null",OBSERVED,WPS embedded image reference
F1,2026年订单汇总表.xlsx,汇总表,4,面料,text,"大身：55%棉40%涤4%氨纶绒布1%金属丝 ，270克","394/450 non-null",OBSERVED,fabric composition & weight
F1,2026年订单汇总表.xlsx,汇总表,5,颜色,text,Navy Duke 藏青色 + 银色金属丝 PTS9392-A,"412/450 non-null",OBSERVED,color name (bilingual) + swatch code
F1,2026年订单汇总表.xlsx,汇总表,6,数量/件,integer,552,"421/450 non-null",OBSERVED,pieces
F1,2026年订单汇总表.xlsx,汇总表,7,交货期,excel_serial_date,45716,"421/450 non-null; Excel serial (~2025-03-07)",OBSERVED,delivery date
F1,2026年订单汇总表.xlsx,汇总表,8,样衣进度,text,4/13寄产前样，车间生产中,"228/450 non-null",OBSERVED,sample progress status
F1,2026年订单汇总表.xlsx,汇总表,9,面料进度,text,8/27投料,"262/450 non-null",OBSERVED,fabric progress status
F1,2026年订单汇总表.xlsx,汇总表,10,水洗厂,text,红水,"22/450 non-null",OBSERVED,laundry vendor
F1,2026年订单汇总表.xlsx,汇总表,11,成衣工厂,text,10/10(郁建东做)名苑发货,"393/450 non-null",OBSERVED,garment factory + ship note
F1,2026年订单汇总表.xlsx,汇总表,12,开票情况,text,3.24开票,"348/450 non-null",OBSERVED,invoicing status
F1,2026年订单汇总表.xlsx,汇总表,13,(unnamed_col13),currency,49.4,"264/450 non-null",INFERRED_HIGH,unit price ¥/pc
F1,2026年订单汇总表.xlsx,汇总表,14,(unnamed_col14),currency,27268.8,"264/450 non-null; ≈ qty × col13",INFERRED_HIGH,line total ¥
F1,2026年订单汇总表.xlsx,汇总表,15,(unnamed_col15),text,,"33/450 non-null",INFERRED_LOW,notes/overflow
F2,报价2026.2.2.xlsx,Sheet1,0,STYLE,text,FBB54S2-997XLB,4 non-null (block heads),OBSERVED,factory style code
F2,报价2026.2.2.xlsx,Sheet1,1,数量,integer,2679,4 non-null,OBSERVED,pieces per size bracket
F2,报价2026.2.2.xlsx,Sheet1,2,款式图,text,深蓝,mixed usage; here stores color name,INFERRED_LOW,header labels image but data has color
F2,报价2026.2.2.xlsx,Sheet1,3,面料克重/成份,text,Self: CVC SLUB jersey 170GSM 大身CVC 竹节汗布,,OBSERVED,fabric composition & weight
F2,报价2026.2.2.xlsx,Sheet1,4,克重,text,不水洗,,OBSERVED,weight or process note
F2,报价2026.2.2.xlsx,Sheet1,5,客户用料码,decimal,1.041,,OBSERVED,customer yardage (yards/pc)
F2,报价2026.2.2.xlsx,Sheet1,6,客户门幅,text,66"",,OBSERVED,fabric width (inches)
F2,报价2026.2.2.xlsx,Sheet1,7,光坯用料,decimal,0.315,,OBSERVED,greige weight per garment (kg)
F2,报价2026.2.2.xlsx,Sheet1,8,面料单价,currency,42,,OBSERVED,fabric unit price
F2,报价2026.2.2.xlsx,Sheet1,9,面料成本,currency,13.23,,OBSERVED,fabric cost per garment
F2,报价2026.2.2.xlsx,Sheet1,10,每件成本,currency,13.4,,OBSERVED,total cost per garment
F2,报价2026.2.2.xlsx,Sheet1,11,做工,currency,3.8,,OBSERVED,CMT/labor cost
F2,报价2026.2.2.xlsx,Sheet1,12,烂花,currency,9,,OBSERVED,burnout finish cost
F2,报价2026.2.2.xlsx,Sheet1,13,印绣花,currency,6,,OBSERVED,print/embroidery cost
F2,报价2026.2.2.xlsx,Sheet1,14,辅料,currency,1.8,,OBSERVED,trims cost
F2,报价2026.2.2.xlsx,Sheet1,15,合计成本,currency,,,OBSERVED,total cost sum
F2,报价2026.2.2.xlsx,Sheet1,16,价格,currency,28.5,,INFERRED_HIGH,FOB price
F2,报价2026.2.2.xlsx,Sheet1,17,目标价,currency,27,,OBSERVED,buyer target price
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,PROGRAM,text,M7797,header field,OBSERVED,buyer program code
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,COLOR,text,BLUE INDIGO,header field,OBSERVED,color (English)
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,品名,text,女式T恤,header field,OBSERVED,product type
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,款号,text,FBB54S2-997XLB（商店款号1152246）,dual code in one cell,OBSERVED,factory+store style
F3,FBB54S2-997XLB款装箱单.xlsx,FBB54S2-997XLB,,PO#,text,728274,,OBSERVED,buyer PO
