entity,definition,grain,primary_identifier,lifecycle_stage,evidence,confidence,status
Brand,Retailer that sells finished garment (甲方),1 per retailer,brand_name,T1_contract,D2 商店 = Lane Bryant; D6 filename,OBSERVED,CONFIRMED (C2)
VendorImporter,Brand's US-side vendor/importer sitting between brand and sourcing agent,1 per vendor,vendor_name,T1_contract,D2 客户 = BCI,OBSERVED,CONFIRMED (C7)
SourcingTradingCompany,Chinese trading company that sources from the factory on behalf of vendor (乙方 vis-à-vis factory),1 per trading company,company_short_name,T1_contract → T9,D1 客户;D2 header 象山锦秀服饰有限公司鄞州分公司;D5-D8 客户,OBSERVED,CONFIRMED (C1)
Factory,The factory itself (this ontology's self-reference; 丙方),1 (self),factory_short_name,ALL,D5-D8 headers 宁波润悦服饰有限公司,OBSERVED,CONFIRMED
Subcontractor,"Downstream shop the factory outsources to (roles: CMT, KNIT, EMBROIDERY, WASH, DYE)",1 per (name; role),T5_fabric → T8_pack,D8 生产工厂=名苑; D6/D7 织造加工=林海织造; D8 协作单位=家顺; D1 水洗厂=红水,OBSERVED,CONFIRMED (C3 for name normalization)
MerchandiserPerson,Named individual at a SourcingTradingCompany owning the order end-to-end,1 per person,person_name,ALL,D1 客户 suffix; D3/D4 footer 胡颖洁,OBSERVED,PROVISIONAL
Program,Buyer-initiated grouping (e.g. M####) that spans several StoreStyles shipped as one campaign,1 per program_code,program_code,T1_contract → T8_pack,D2 PROGRAM# = M7797 on 4 sheets;D9 spans same M7797 across 3 store styles;D1 rows 169-192 share M7797,OBSERVED,PROVISIONAL (M6; U-7)
StoreStyle,Buyer's own style/SKU identifier (7-digit for LB),1 per store_style_code,store_style_code,T1 → T8,D2 sheet names;D3/D4/D6/D9/D10 dual cells,OBSERVED,PROVISIONAL
FactoryStyle,Factory's internal style code (pattern XXX##X#-###XX{2-3}),1 per factory_style_code,factory_style_code,ALL,D0 STYLE;D1 embedded;every other doc,OBSERVED,PROVISIONAL
FactoryStyleRevision,A prior/superseded factory style code that a current FactoryStyle descends from,0..1 per FactoryStyle,composite (current; prior),T4_sampling,A2 filename references FBB54S2-388ELB while current is FBB54S2-997XLB,INFERRED_HIGH,UNRESOLVED (U-1)
Contract,"Formal CMT purchase between SourcingTradingCompany and CMT Subcontractor, per StoreStyle",1 per (StoreStyle; CMT_Subcontractor),composite (contract_date; store_style; cmt_subcontractor),T1_contract,D2 (4 sheets = 4 contracts under one PROGRAM),OBSERVED,PROVISIONAL
StyleOrder,Factory's own record of a booking for one (contract; factory_style; colour) — aggregates PricingLines,1 per (contract; factory_style; colour),composite,T2_order_intake → T9_invoice,D1 R171+R172 together = one StyleOrder,OBSERVED,PROVISIONAL (M1)
PricingLine,Commercial line at grain StyleOrder × pricing_bracket (regular vs plus-size premium),1 per (StyleOrder; pricing_bracket),composite,T3_costing → T9_invoice,D1 R171 (2679@¥28) vs R172 (160@¥31);D0 rows 1 & 6 mirror,OBSERVED,PROVISIONAL (M1)
Price,"Individual price value on a PricingLine, discriminated by price_type",1 per (PricingLine; price_type[; document]),composite,T3_costing → T9_invoice,"regular: target=27 D0, quoted=28.5 D0, booked=28 D1; plus: 31/32/31",OBSERVED,CONFIRMED (M2; C6)
PurchaseOrder,Buyer-issued PO,1 per po_number,po_number,T7_trims → T8_pack,D9 PO#; D10 PO#; D2 slot 待定,OBSERVED,PROVISIONAL (M4; issuer U-5)
Product,Product-type designation (品名),1 per FactoryStyle,factory_style_ref,T1,D2 品名; D8 品名; D10 品名,OBSERVED,PROVISIONAL
ColorSpecification,"Colour concept for a style, held in four coexisting names — no single key is universal",1 per (StoreStyle; colour concept),composite (buyer_color_name OR swatch_code),T1 → T8,"D2 BLUE INDIGO; D5 藏青; D7 26C12344-D色丈青; D1 mixed",OBSERVED,PROVISIONAL (M5; U-6)
SizeScheme,"Controlled vocabulary of sizes for a (Brand; product_type)",1 per scheme,scheme_id,T1 → T8,LB_PLUS_10_TO_40 in D2/D8/D9/D10;STANDARD_XS_XXL in D3-Sheet1,OBSERVED,PROVISIONAL (attachment U-4)
Size,One bucket within a SizeScheme,1 per (SizeScheme; size_label),composite,T1 → T8,D2 header 10/12 ... 38/40,OBSERVED,CONFIRMED
FabricSpecification,"Description of one fabric; raw text preserved and structured atoms extracted",1 per (FactoryStyle; fabric role),composite,T1_contract → T6_cut_plan,D0/D2/D5/D6/D7/D8 fabric fields,OBSERVED,PROVISIONAL
