subject,predicate,object,cardinality,evidence,confidence,status
Brand,served_by,VendorImporter,1..N,D2 (LB → BCI),OBSERVED,CONFIRMED (C7)
VendorImporter,sourced_through,SourcingTradingCompany,1..N,D2 header shows 锦秀 issuing contract as vendor's agent,INFERRED_HIGH,PROVISIONAL
SourcingTradingCompany,contracts_with,Factory,1..N,D1 客户 field on every internal doc,OBSERVED,CONFIRMED (C1)
Factory,subcontracts_to,Subcontractor,1..N,D8 名苑/家顺;D6 林海织造;D1 红水,OBSERVED,CONFIRMED
SourcingTradingCompany,employs,MerchandiserPerson,1..N,D1 客户 suffix 胡颖洁,OBSERVED,PROVISIONAL
Contract,between_seller,Subcontractor,1..1,D2 contract binds 锦秀 (buyer) and 名苑 (CMT seller),INFERRED_HIGH,PROVISIONAL
Contract,between_buyer,SourcingTradingCompany,1..1,D2 header 锦秀,OBSERVED,PROVISIONAL
Contract,on_behalf_of,Brand,1..1,D2 商店 = Lane Bryant,OBSERVED,CONFIRMED
Contract,references_program,Program,1..1,D2 PROGRAM# = M7797,OBSERVED,CONFIRMED
Program,initiated_by,VendorImporter,1..1,D2 客户=BCI is only place VendorImporter appears; INFERRED that Program is issued down the chain from this vendor,INFERRED_HIGH,UNRESOLVED (U-5 scope)
Program,for_brand,Brand,1..1,D2 商店 = Lane Bryant,OBSERVED,CONFIRMED
Program,contains,StoreStyle,1..N,D2 4 tabs;D9 3 store styles under M7797,OBSERVED,PROVISIONAL
StoreStyle,realized_as,FactoryStyle,1..N,dataset shows 1↔1 for this case; A2 hints at revisions,INFERRED_HIGH,UNRESOLVED (U-1)
StoreStyle,governed_by,Contract,1..1,D2 contract per store style,OBSERVED,PROVISIONAL
FactoryStyle,revision_of,FactoryStyle,0..1,A2 filename 388ELB vs current 997XLB (both share 997XLB root),INFERRED_LOW,UNRESOLVED (U-1)
FactoryStyle,is_product_type,Product,1..1,D2 品名;D8 品名,OBSERVED,PROVISIONAL
Contract,booked_as,StyleOrder,1..N,D2 → D1 rows 171/172 collectively,INFERRED_HIGH,PROVISIONAL
StyleOrder,comprises,PricingLine,1..N,D1 R171 + R172 for same style/colour,OBSERVED,PROVISIONAL (M1)
StyleOrder,references_factory_style,FactoryStyle,1..1,D1 款号,OBSERVED,PROVISIONAL
StyleOrder,references_color,ColorSpecification,1..1,D1 颜色,OBSERVED,PROVISIONAL
StyleOrder,booked_by,SourcingTradingCompany,1..1,D1 客户,OBSERVED,CONFIRMED (C1)
