canonical_concept,raw_field_name,raw_value,source_document,is_first_observation,downstream_documents,transformation_type,business_grain,workflow_stage,confidence
brand,商店,Lane Bryant,D2,Y,D9(filename),COPY,brand,T1_contract,OBSERVED
brand,(filename),LANE BRYANT,D9,N,—,COPY,brand,T7_trims,OBSERVED
vendor_importer,客户,BCI,D2,Y,—,COPY,vendor_importer,T1_contract,OBSERVED
sourcing_trading_company,(recipient implicit),锦秀,D0,Y,D1;D5;D6;D7;D8,ENRICH,sourcing_trading,T3_costing,INFERRED_HIGH
sourcing_trading_company,客户,锦秀/胡颖洁,D1,N,—,SPLIT (name/merchandiser),sourcing_trading,T2_order_intake,OBSERVED
sourcing_trading_company,客户,锦秀公司/胡颖洁,D5,N,—,COPY,sourcing_trading,T5_yarn_plan,OBSERVED
sourcing_trading_company,客户,锦秀公司/胡颖洁,D6,N,—,COPY,sourcing_trading,T5_knit_plan,OBSERVED
sourcing_trading_company,客户,锦秀公司/胡颖洁,D7,N,—,COPY,sourcing_trading,T5_dye_plan,OBSERVED
sourcing_trading_company,客户,锦秀公司/胡颖洁,D8,N,—,COPY,sourcing_trading,T6_cut_plan,OBSERVED
sourcing_trading_company,(contract header),象山锦秀服饰有限公司鄞州分公司,D2,N,—,ENRICH (full legal name),sourcing_trading,T1_contract,OBSERVED
merchandiser,客户 (suffix),胡颖洁,D1,Y,D5;D6;D7;D8;D3(footer);D4(footer),SPLIT (from 客户),merchandiser_person,T2_order_intake,OBSERVED
merchandiser,footer,胡颖洁,D3,N,—,COPY,merchandiser_person,T1_labdip_brief,OBSERVED
merchandiser,footer,胡颖洁,D4,N,—,COPY,merchandiser_person,T1_art_brief,OBSERVED
factory_us,(document header),宁波润悦服饰有限公司,D5;D6;D7;D8,Y,—,COPY,factory_self,T5-T6,OBSERVED
cmt_subcontractor,茗苑 (contract header marker),茗苑,D2,Y,D9(marker);D8;D1,NORMALIZE (茗苑→名苑),cmt_subcontractor,T1_contract,OBSERVED
cmt_subcontractor,生产工厂,名苑,D8,N,—,COPY,cmt_subcontractor,T6_cut_plan,OBSERVED
cmt_subcontractor,成衣工厂,5/22 郁建东发货,D1,N,—,MERGE (person + ship note; vendor is implicit),cmt_subcontractor,T9_ship,OBSERVED
knit_subcontractor,织造加工,林海织造,D6,Y,D7,COPY,knit_subcontractor,T5_knit_plan,OBSERVED
knit_subcontractor,织造加工,林海织造,D7,N,—,COPY,knit_subcontractor,T5_dye_plan,OBSERVED
knit_subcontractor,(narrative),林海,D5,N,—,COPY,knit_subcontractor,T5_yarn_plan,OBSERVED
embroidery_subcontractor,协作单位,家顺,D8,Y,—,COPY,embroidery_subcontractor,T6_cut_plan,OBSERVED
embroidery_subcontractor_phone,联系方式,13806640517,D8,Y,—,COPY,embroidery_subcontractor,T6_cut_plan,OBSERVED
program_code,PROGRAM#,M7797,D2,Y,D9;D10,COPY,program,T1_contract,OBSERVED
program_code,款号 (prefix),M7797    (in D1 R171/R172 款号 cell),D1,N,—,MERGE (into 款号 text),program,T2_order_intake,OBSERVED
