entity,attribute,type,unit,required,source_fields,normalization_rule,confidence
Brand,brand_name,text,,Y,D2 商店 · D6 filename,uppercase-preserving direct copy,OBSERVED
VendorImporter,vendor_name,text,,Y,D2 客户,direct copy,OBSERVED
SourcingTradingCompany,company_short_name,text,,Y,D1 客户 (before /),split D1 客户 on / → left side,OBSERVED
SourcingTradingCompany,company_legal_name,text,,N,D2 header,direct copy of header line,OBSERVED
Factory,factory_short_name,text,,Y,D5-D8 header,direct copy,OBSERVED
Subcontractor,subcontractor_name,text,,Y,D8 生产工厂 · D6 织造加工 · D8 协作单位 · D1 水洗厂,normalize 茗苑→名苑 per C3; keep raw_variants[],OBSERVED
Subcontractor,role,enum(CMT|KNIT|EMBROIDERY|WASH|DYE),,Y,derived from source column,map column-name → role,INFERRED_HIGH
Subcontractor,contact_phone,text,,N,D8 联系方式,direct copy,OBSERVED
MerchandiserPerson,person_name,text,,Y,D1 客户 (after /) · D3/D4 footer,split D1 客户 on / → right side,OBSERVED
Program,program_code,text,,Y,D2 PROGRAM# · D9 · D10 · D1 embedded,regex ^M\d+ from D1 款号 cell,OBSERVED
Program,first_seen_date,date,,N,earliest source doc date,min of related doc dates,INFERRED_HIGH
StoreStyle,store_style_code,text,,Y,D2 sheet name · D3/D4/D6/D9/D10 dual cell,regex \d{7} in dual cell,OBSERVED
StoreStyle,brand_ref,ref(Brand),,Y,D2 商店,direct copy,OBSERVED
StoreStyle,program_ref,ref(Program),,Y,D2 PROGRAM#,direct copy,OBSERVED
FactoryStyle,factory_style_code,text,,Y,D0 STYLE · D1 款号 · every other doc,regex [A-Z]{3}\d{2}[A-Z]\d-\d{3}[A-Z]{2\,3},OBSERVED
FactoryStyle,revision_of_ref,ref(FactoryStyle),,N,A2 filename hint,manual mapping,INFERRED_LOW
FactoryStyle,product_type_ref,ref(Product),,Y,D2 品名,direct copy,OBSERVED
FactoryStyle,size_scheme_ref,ref(SizeScheme),,Y,D2 header row size labels,detect from column headers,OBSERVED
Contract,contract_date,date,,Y,D2 filename or first cell,parse M.D → YYYY-MM-DD with year from filename,OBSERVED
Contract,contract_delivery_date,date,,Y,D2 交期,parse ISO datetime,OBSERVED (C4)
Contract,contract_quantity,integer,pieces,Y,D2 数量,direct copy,OBSERVED
Contract,testing_agency,text,,N,D2 测试要求 first line,extract phrase (BV测试公司),OBSERVED
Contract,no_wash_flag,boolean,,N,D2 大货不需要水洗,text match 不水洗 / 不需要水洗,OBSERVED
Contract,raw_fabric_bom_text,text,,Y,D2 面辅料,preserve raw multi-row text,OBSERVED
Contract,raw_testing_text,text,,Y,D2 测试要求,preserve raw text,OBSERVED
StyleOrder,booked_order_date,date,,Y,D1 下单时间,parse M.D or M/D + year from section banner,INFERRED_HIGH
StyleOrder,contract_ref,ref(Contract),,Y,derived,join on program+store_style+color,INFERRED_HIGH
StyleOrder,sourcing_trading_ref,ref(SourcingTradingCompany),,Y,D1 客户,split-first,OBSERVED
StyleOrder,merchandiser_ref,ref(MerchandiserPerson),,Y,D1 客户,split-second,OBSERVED
PricingLine,pricing_bracket,enum(regular|plus_size_premium|other),,Y,derived from D0/D1 co-occurrence,two prices with same style → two brackets,INFERRED_HIGH
PricingLine,quantity_priced,integer,pieces,Y,D0 数量 · D1 数量/件,direct copy,OBSERVED
PricingLine,covers_sizes,list[ref(Size)],,N,derived,plus bracket ≈ larger sizes; not explicit,INFERRED_LOW
Price,amount,decimal,RMB,Y,D0 价格/目标价 · D1 col13,direct copy,OBSERVED (C6 for D1)
Price,currency,text,,Y,constant RMB,constant,OBSERVED
Price,unit,enum(per_piece),,Y,constant,constant,OBSERVED
Price,price_type,enum(target|quoted|booked),,Y,derived from source field,D0 目标价→target · D0 价格→quoted · D1 col13→booked,CONFIRMED (M2; C6)
Price,document_ref,ref(Document),,Y,,derived from source,OBSERVED
Price,document_date,date,,Y,filename/mtime,derived from source,OBSERVED
Price,is_current,boolean,,Y,,latest per (PricingLine; price_type),PROVISIONAL
PurchaseOrder,po_number,text,,Y,D9 PO# · D10 PO#,direct copy,OBSERVED
PurchaseOrder,buyer_dept,text,,N,D10 Dept,direct copy,OBSERVED
PurchaseOrder,store_style_ref,ref(StoreStyle),,Y,D9/D10 款号,extract store_style from dual cell,OBSERVED
PurchaseOrder,color_ref,ref(ColorSpecification),,Y,D9/D10 颜色,match on buyer_color_name,OBSERVED
PurchaseOrder,packing_mode,text,,N,D9 包装,direct copy (BULK独码 …),OBSERVED
PurchaseOrder,po_quantity,integer,pieces,Y,D9 数量,direct copy,OBSERVED
Product,product_type_normalized,text,,Y,D2 品名 · D8 品名 · D10 品名,pick most specific (女式T恤 over 女式T over T恤),INFERRED_HIGH
Product,raw_variants,list[text],,Y,collect all source values,append raw values,OBSERVED
ColorSpecification,buyer_color_name,text,,N,D2 颜色 (order block),extract before Chinese parenthetical,OBSERVED
ColorSpecification,factory_color_name,text,,N,D5/D6 颜色,direct copy,OBSERVED
ColorSpecification,swatch_code,text,,N,D7 批号 line color · D8 颜色,regex \d{2}[A-Z]?C?\d+-[A-Z](色\S+)?,INFERRED_HIGH
