concept,originating_document,source_of_truth,downstream_copies,conflicting_versions,conflict_type,confidence
brand,D2 (商店 = Lane Bryant),D2,D9 filename,none,none,OBSERVED
vendor_importer,D2 (客户 = BCI),D2,none,none,none,OBSERVED
sourcing_trading_company,D1 (客户 = 锦秀/胡颖洁),D1,"D5;D6;D7;D8;D3 footer;D4 footer",锦秀 vs 锦秀公司 vs 象山锦秀服饰有限公司鄞州分公司,revision (variant surface forms of same legal entity),OBSERVED
merchandiser,D1 (客户 suffix = 胡颖洁),D1,"D5;D6;D7;D8;D3 footer;D4 footer",none for this case,none,OBSERVED
factory_us (润悦),D5/D6/D7/D8 header,those document headers,implicit throughout,none,none,OBSERVED
cmt_subcontractor,"D2 header (茗苑) [author=锦秀]; D8 生产工厂 (名苑) [author=润悦]",D8 (canonical spelling 名苑 per C3),"D1 status text (名苑 embedded)",茗苑 vs 名苑,data_error (transliteration variant of one entity — normalise to 名苑),OBSERVED (per C3)
knit_subcontractor,D6 (织造加工 = 林海织造),D6,D7,none,none,OBSERVED
embroidery_subcontractor,D8 (协作单位 = 家顺 + 联系方式 13806640517),D8,none,none,none,OBSERVED
wash_subcontractor,n/a (this style is 不水洗),n/a,n/a,none (not applicable),n/a,OBSERVED
program_code (M7797),D2 (PROGRAM#),D2,"D9 filename & main;D10 header;D1 款号 prefix",none,none,OBSERVED
store_style_code (1152246),D2 (sheet name),D2,"D3;D4;D9;D10;D1 款号 embedded;A1 filename",none,none,OBSERVED
factory_style_code (FBB54S2-997XLB),D0 (STYLE),D0,"D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;A2/A3/A4 filenames",none,none,OBSERVED
product_type,D2 (品名 = T恤),D2,"D8 女式T恤;D10 女式T",女式T恤 vs 女式T vs T恤,revision (progressive enrichment — D8 adds gender; D10 truncated),OBSERVED
po_number 728274,D9 (first populated occurrence),D9,D10,slot exists in D2 (待定) prior to fill,revision (待定 → filled),OBSERVED
po_number 728275,D9 (first populated occurrence),D9,D10,slot exists in D2 (待定) prior to fill,revision (待定 → filled),OBSERVED
buyer_dept (502),D10 (Dept),D10,none,none,none,OBSERVED
upc (per size × PO),D10 (embedded in 包装 numeric column),D10,none,slot exists in D2 (包装和UPS# 待定) prior to fill,revision (待定 → filled),OBSERVED
colour_english (BLUE INDIGO),D2 (颜色 order block),D2,D9;D10,none,none,OBSERVED
colour_chinese_common (藏青 / 丈青),D5 (颜色 = 藏青); D7 (颜色 = 丈青 in swatch string),D5 and D7 disagree at surface,"D6 (藏青);D8;D1 (丈青)",藏青 (D5/D6) vs 丈青 (D7/D8/D1),stage-specific value (planning uses 藏青; dye/cut/log use 丈青 embedded in swatch string — both refer to same 26C12344-D navy),OBSERVED
colour_swatch_code (26C12344-D),D7 (拷布单 批号 assignment),D7,D8;D1,none,none,OBSERVED
labdip_directive,D3 (色号 = 按照客样颜色出色卡),D3,none,none,none,OBSERVED
buyer_sample_available,D3 (客样 = 有客样),D3,none,none,none,OBSERVED
art_asset_id (997X),D4 (画稿),D4,A5/A6/A7/A8 filenames,none,none,OBSERVED (per C5)
fabric_spec,"D0 (面料克重/成份) — highest-detail schematic; D2 (面辅料) — most complete BOM prose","D2 (contract) — most authoritative single statement","D0;D1;D3;D4;D5;D6;D7;D8","D0 vs D2 vs D5 all say the same fabric with different phrasings",revision (progressive enrichment — no substantive disagreement),OBSERVED
fibre_composition (CVC 60/40),embedded in D0/D2 fabric prose,D2 (contract prose),D5;D6;D7;D8,none,none,INFERRED_HIGH
fabric_gsm (170gsm),embedded in D0/D2 fabric prose,D2 (contract prose),D5;D6;D7;D8,none,none,OBSERVED
compliance_no_xinjiang_cotton,D5 header baked-in `/不含新疆棉`,D5 (planning enforces the constraint),D2 notes (BCI vendor implies BCI cotton),none,none,OBSERVED
process_flag_no_wash,D0 克重=不水洗; D2 大货不需要水洗,D2 (contract statement),D5 notes,none,none,OBSERVED
process_flag_bead_embroidery,D2 工艺要求 (1.裁片前片珠片绣),D2,"D8 印绣花 部位 = 前片绣花;D4 画稿 997X",none,none,OBSERVED
yardage_per_pc_yd (1.041/1.334),D0 客户用料码,D0,none,none,none,OBSERVED
weight_per_pc_kg_greige (0.315/0.405),D0 光坯用料 — per garment,D0,none,D0 0.315 vs D5 0.324 (body only),stage-specific value (D0 quotes full-garment greige; D5 sub-divides per body part — not directly comparable but numerically close),OBSERVED
weight_per_pc_kg_by_part,D5 单件用料/KG,D5 (planning),none,none,none,OBSERVED
fabric_width_customer_inch (66"),D0,D0,none,D0 66" vs D5/D6/D7 185CM,stage-specific value (customer-facing yard width vs greige tube width in cm — expected different),OBSERVED
fabric_width_greige_cm (185CM),D5,D5,D6;D7,none,none,OBSERVED
